doc_id,filename,year,cosl_decade,raw_word_count,term,pattern,count
13_subordinate_legislation_5_2001,13_Subordinate_Legislation_5_2001.txt,2001,1994-2003,6087,delay_exact,\bdelay\b,3
13_subordinate_legislation_5_2001,13_Subordinate_Legislation_5_2001.txt,2001,1994-2003,6087,delay_family,\b(delays?|delayed|delaying)\b,4
13_subordinate_legislation_5_2001,13_Subordinate_Legislation_5_2001.txt,2001,1994-2003,6087,action_taken,\baction\s+taken\b,7
13_subordinate_legislation_5_2001,13_Subordinate_Legislation_5_2001.txt,2001,1994-2003,6087,recruitment,\brecruitment\b,39
13_subordinate_legislation_6_2001,13_Subordinate_Legislation_6_2001.txt,2001,1994-2003,3829,delay_exact,\bdelay\b,3
13_subordinate_legislation_6_2001,13_Subordinate_Legislation_6_2001.txt,2001,1994-2003,3829,delay_family,\b(delays?|delayed|delaying)\b,7
13_subordinate_legislation_6_2001,13_Subordinate_Legislation_6_2001.txt,2001,1994-2003,3829,action_taken,\baction\s+taken\b,0
13_subordinate_legislation_6_2001,13_Subordinate_Legislation_6_2001.txt,2001,1994-2003,3829,recruitment,\brecruitment\b,37
13_subordinate_legislation_7_2002,13_Subordinate_Legislation_7_2002.txt,2002,1994-2003,2670,delay_exact,\bdelay\b,2
13_subordinate_legislation_7_2002,13_Subordinate_Legislation_7_2002.txt,2002,1994-2003,2670,delay_family,\b(delays?|delayed|delaying)\b,2
13_subordinate_legislation_7_2002,13_Subordinate_Legislation_7_2002.txt,2002,1994-2003,2670,action_taken,\baction\s+taken\b,0
13_subordinate_legislation_7_2002,13_Subordinate_Legislation_7_2002.txt,2002,1994-2003,2670,recruitment,\brecruitment\b,7
13_subordinate_legislation_8_2002,13_Subordinate_Legislation_8_2002.txt,2002,1994-2003,3561,delay_exact,\bdelay\b,9
13_subordinate_legislation_8_2002,13_Subordinate_Legislation_8_2002.txt,2002,1994-2003,3561,delay_family,\b(delays?|delayed|delaying)\b,12
13_subordinate_legislation_8_2002,13_Subordinate_Legislation_8_2002.txt,2002,1994-2003,3561,action_taken,\baction\s+taken\b,7
13_subordinate_legislation_8_2002,13_Subordinate_Legislation_8_2002.txt,2002,1994-2003,3561,recruitment,\brecruitment\b,1
13_subordinate_legislation_9_2002,13_Subordinate_Legislation_9_2002.txt,2002,1994-2003,8167,delay_exact,\bdelay\b,2
13_subordinate_legislation_9_2002,13_Subordinate_Legislation_9_2002.txt,2002,1994-2003,8167,delay_family,\b(delays?|delayed|delaying)\b,3
13_subordinate_legislation_9_2002,13_Subordinate_Legislation_9_2002.txt,2002,1994-2003,8167,action_taken,\baction\s+taken\b,0
13_subordinate_legislation_9_2002,13_Subordinate_Legislation_9_2002.txt,2002,1994-2003,8167,recruitment,\brecruitment\b,30
14_subordinate_legislation_10_2005,14_Subordinate_Legislation_10_2005.txt,2005,2004-2013,8160,delay_exact,\bdelay\b,2
14_subordinate_legislation_10_2005,14_Subordinate_Legislation_10_2005.txt,2005,2004-2013,8160,delay_family,\b(delays?|delayed|delaying)\b,6
14_subordinate_legislation_10_2005,14_Subordinate_Legislation_10_2005.txt,2005,2004-2013,8160,action_taken,\baction\s+taken\b,11
14_subordinate_legislation_10_2005,14_Subordinate_Legislation_10_2005.txt,2005,2004-2013,8160,recruitment,\brecruitment\b,18
14_subordinate_legislation_11_2006,14_Subordinate_Legislation_11_2006.txt,2006,2004-2013,3924,delay_exact,\bdelay\b,1
14_subordinate_legislation_11_2006,14_Subordinate_Legislation_11_2006.txt,2006,2004-2013,3924,delay_family,\b(delays?|delayed|delaying)\b,2
14_subordinate_legislation_11_2006,14_Subordinate_Legislation_11_2006.txt,2006,2004-2013,3924,action_taken,\baction\s+taken\b,17
14_subordinate_legislation_11_2006,14_Subordinate_Legislation_11_2006.txt,2006,2004-2013,3924,recruitment,\brecruitment\b,11
14_subordinate_legislation_12_2006,14_Subordinate_Legislation_12_2006.txt,2006,2004-2013,5976,delay_exact,\bdelay\b,6
14_subordinate_legislation_12_2006,14_Subordinate_Legislation_12_2006.txt,2006,2004-2013,5976,delay_family,\b(delays?|delayed|delaying)\b,6
14_subordinate_legislation_12_2006,14_Subordinate_Legislation_12_2006.txt,2006,2004-2013,5976,action_taken,\baction\s+taken\b,0
