term,pattern,year,total_count,n_reports,total_words,total_instruments,per_10000_words,count_per_report,count_per_instrument
action_taken,\baction\s+taken\b,2021,30,7,34659,,8.65576040855189,4.285714285714286,
action_taken,\baction\s+taken\b,2022,154,11,68448,,22.498831229546514,14.0,
action_taken,\baction\s+taken\b,2023,122,12,77744,,15.69252932702202,10.166666666666666,
delay_exact,\bdelay\b,1954,14,2,21568,,6.491097922848664,7.0,
delay_exact,\bdelay\b,1955,13,1,15784,,8.236188545362392,13.0,
delay_exact,\bdelay\b,1956,28,3,25414,,11.017549382230268,9.333333333333334,
delay_exact,\bdelay\b,1957,25,2,45694,,5.471177835164354,12.5,
delay_exact,\bdelay\b,1958,19,2,25521,,7.444849339759414,9.5,
delay_exact,\bdelay\b,1959,49,3,30307,,16.167882007457024,16.333333333333332,
delay_exact,\bdelay\b,1960,9,3,12383,,7.268028749091496,3.0,
delay_exact,\bdelay\b,1961,19,3,10540,,18.026565464895636,6.333333333333333,
delay_exact,\bdelay\b,1962,0,1,5189,,0.0,0.0,
delay_exact,\bdelay\b,1963,0,1,6591,,0.0,0.0,
delay_exact,\bdelay\b,1964,0,1,4546,,0.0,0.0,
delay_exact,\bdelay\b,1965,7,1,10682,,6.553079947575361,7.0,
delay_exact,\bdelay\b,1966,12,2,13385,,8.965259618976466,6.0,
delay_exact,\bdelay\b,1967,11,1,15256,,7.210277923439958,11.0,
delay_exact,\bdelay\b,1968,16,3,33093,,4.834859335811199,5.333333333333333,
delay_exact,\bdelay\b,1970,10,4,108326,,0.9231394125140778,2.5,
delay_exact,\bdelay\b,1971,9,2,29235,,3.078501795792714,4.5,
delay_exact,\bdelay\b,1972,88,3,80698,,10.904855138912984,29.333333333333332,
delay_exact,\bdelay\b,1973,88,4,99305,,8.86158803685615,22.0,
delay_exact,\bdelay\b,1974,308,6,212499,,14.49418585499226,51.333333333333336,
delay_exact,\bdelay\b,1975,45,2,43656,,10.307861462341945,22.5,
delay_exact,\bdelay\b,1976,145,3,100433,,14.437485686975396,48.333333333333336,
delay_exact,\bdelay\b,1977,216,5,120485,,17.927542847657385,43.2,
delay_exact,\bdelay\b,1978,145,9,200366,,7.23675673517463,16.11111111111111,
delay_exact,\bdelay\b,1979,28,6,91530,,3.0591063039440622,4.666666666666667,
delay_exact,\bdelay\b,1980,22,4,58326,,3.77190275348901,5.5,
delay_exact,\bdelay\b,1981,85,6,122860,,6.918443757121928,14.166666666666666,
delay_exact,\bdelay\b,1982,71,4,116162,,6.112153716361632,17.75,
delay_exact,\bdelay\b,1983,262,8,298647,,8.772899108311819,32.75,
delay_exact,\bdelay\b,1984,76,4,74814,,10.158526479001257,19.0,
delay_exact,\bdelay\b,1985,88,4,64983,,13.542003293168982,22.0,
delay_exact,\bdelay\b,1986,146,7,124754,,11.70303156612213,20.857142857142858,
delay_exact,\bdelay\b,1987,5,5,48861,,1.023311025152985,1.0,
delay_exact,\bdelay\b,1988,17,3,27924,,6.087953015327317,5.666666666666667,
delay_exact,\bdelay\b,1989,7,5,39439,,1.7748928725373363,1.4,
delay_exact,\bdelay\b,1990,2,1,11235,,1.7801513128615933,2.0,
delay_exact,\bdelay\b,1991,14,3,23047,,6.074543324510783,4.666666666666667,
delay_exact,\bdelay\b,1992,37,4,44383,,8.336525246152807,9.25,
delay_exact,\bdelay\b,1993,15,3,30649,,4.894123788704363,5.0,
delay_exact,\bdelay\b,1994,75,10,113388,,6.614456556249339,7.5,
