variant,model_type,topic,rank,keyword,weight
documented_clean_final,NMF_FALLBACK,3,18,action contained,0.14146904521324813
documented_clean_final,NMF_FALLBACK,3,19,group gazetted,0.1387519306453722
documented_clean_final,NMF_FALLBACK,3,20,breeding farm,0.13707920221217235
documented_clean_final,NMF_FALLBACK,4,1,ifs,0.6202415980637475
documented_clean_final,NMF_FALLBACK,4,2,service,0.5068438405997494
documented_clean_final,NMF_FALLBACK,4,3,promotion,0.4796039492388204
documented_clean_final,NMF_FALLBACK,4,4,cadre,0.42458931862441335
documented_clean_final,NMF_FALLBACK,4,5,grade,0.3725983914378108
documented_clean_final,NMF_FALLBACK,4,6,officers,0.3651158659516416
documented_clean_final,NMF_FALLBACK,4,7,foreign service,0.36464970077794734
documented_clean_final,NMF_FALLBACK,4,8,indian foreign,0.3494786115882497
documented_clean_final,NMF_FALLBACK,4,9,foreign,0.34595322004884654
documented_clean_final,NMF_FALLBACK,4,10,external,0.3376957592790053
documented_clean_final,NMF_FALLBACK,4,11,external affairs,0.336724962354997
documented_clean_final,NMF_FALLBACK,4,12,indian,0.24822921450314603
documented_clean_final,NMF_FALLBACK,4,13,posts,0.23452835526732022
documented_clean_final,NMF_FALLBACK,4,14,seniority,0.21411013745999052
documented_clean_final,NMF_FALLBACK,4,15,recruitment,0.2124383498397706
documented_clean_final,NMF_FALLBACK,4,16,promotion rules,0.19420307117085325
documented_clean_final,NMF_FALLBACK,4,17,recruitment cadre,0.1903707481621281
documented_clean_final,NMF_FALLBACK,4,18,cadre seniority,0.18871861624528324
documented_clean_final,NMF_FALLBACK,4,19,affairs,0.16748009866880084
documented_clean_final,NMF_FALLBACK,4,20,secretary,0.1647488682290975
documented_clean_final,NMF_FALLBACK,5,1,tobacco,1.4071954547007264
documented_clean_final,NMF_FALLBACK,5,2,tobacco products,0.37060461688957713
documented_clean_final,NMF_FALLBACK,5,3,cigarettes,0.3313402597525809
documented_clean_final,NMF_FALLBACK,5,4,bidi,0.2887359571305804
documented_clean_final,NMF_FALLBACK,5,5,health,0.267715216761274
documented_clean_final,NMF_FALLBACK,5,6,warnings,0.2659445212658568
documented_clean_final,NMF_FALLBACK,5,7,products,0.24925807899620156
documented_clean_final,NMF_FALLBACK,5,8,smoking,0.2300162985522388
documented_clean_final,NMF_FALLBACK,5,9,warning,0.2164761008007615
documented_clean_final,NMF_FALLBACK,5,10,beedi,0.21641063718058703
documented_clean_final,NMF_FALLBACK,5,11,cigarette,0.21183247681167933
documented_clean_final,NMF_FALLBACK,5,12,pictorial,0.1932832990696192
documented_clean_final,NMF_FALLBACK,5,13,health warnings,0.15035862968715205
documented_clean_final,NMF_FALLBACK,5,14,farmers,0.1436023655162343
documented_clean_final,NMF_FALLBACK,5,15,illicit,0.14135911185935082
documented_clean_final,NMF_FALLBACK,5,16,livelihood,0.13336310686076228
documented_clean_final,NMF_FALLBACK,5,17,tobacco control,0.12957863019648702
documented_clean_final,NMF_FALLBACK,5,18,crops,0.12740916832654736
documented_clean_final,NMF_FALLBACK,5,19,health warning,0.12574366874592102
documented_clean_final,NMF_FALLBACK,5,20,package,0.11764537101266964
documented_clean_final,NMF_FALLBACK,6,1,tbe,1.3359370407752202
documented_clean_final,NMF_FALLBACK,6,2,tbat,0.2565304288613188
documented_clean_final,NMF_FALLBACK,6,3,tile,0.20432173980437532
documented_clean_final,NMF_FALLBACK,6,4,act,0.17499075575597242
documented_clean_final,NMF_FALLBACK,6,5,tea,0.15953909147039083
documented_clean_final,NMF_FALLBACK,6,6,tho,0.14786721723939023
documented_clean_final,NMF_FALLBACK,6,7,corporation,0.1450671318785886
documented_clean_final,NMF_FALLBACK,6,8,law,0.1429582203081606
documented_clean_final,NMF_FALLBACK,6,9,matter,0.14050198034895317
documented_clean_final,NMF_FALLBACK,6,10,food,0.13875354561027578
documented_clean_final,NMF_FALLBACK,6,11,sbri,0.1343920160349324
documented_clean_final,NMF_FALLBACK,6,12,representative,0.12941355412050715
documented_clean_final,NMF_FALLBACK,6,13,stated,0.12822195542295567
documented_clean_final,NMF_FALLBACK,6,14,th,0.12056209710695137
documented_clean_final,NMF_FALLBACK,6,15,regulation,0.11715914726388185
documented_clean_final,NMF_FALLBACK,6,16,civil,0.11337133314685374
documented_clean_final,NMF_FALLBACK,6,17,seventh,0.11245919900806345
documented_clean_final,NMF_FALLBACK,6,18,forest,0.11211490658060679
documented_clean_final,NMF_FALLBACK,6,19,date,0.11133755207304477
