variant,model_type,topic,rank,keyword,weight
keep_short_remove_years,NMF_FALLBACK,3,15,technology group,0.1469436819841246
keep_short_remove_years,NMF_FALLBACK,3,16,thirteenth 14th,0.1443786814957752
keep_short_remove_years,NMF_FALLBACK,3,17,action taken,0.12988190988234113
keep_short_remove_years,NMF_FALLBACK,3,18,electrician,0.1286371363420086
keep_short_remove_years,NMF_FALLBACK,3,19,central sheep,0.12680083946180906
keep_short_remove_years,NMF_FALLBACK,3,20,sheep breeding,0.12680083946180906
keep_short_remove_years,NMF_FALLBACK,4,1,port,0.445697090922922
keep_short_remove_years,NMF_FALLBACK,4,2,surface,0.3819170136255438
keep_short_remove_years,NMF_FALLBACK,4,3,surface transport,0.36407371214732354
keep_short_remove_years,NMF_FALLBACK,4,4,transport,0.3151700822718349
keep_short_remove_years,NMF_FALLBACK,4,5,gsr,0.26102666663676455
keep_short_remove_years,NMF_FALLBACK,4,6,regulations,0.2573155827714507
keep_short_remove_years,NMF_FALLBACK,4,7,port trust,0.2561194407560942
keep_short_remove_years,NMF_FALLBACK,4,8,trust,0.21448261579283517
keep_short_remove_years,NMF_FALLBACK,4,9,regulation,0.17284059111888708
keep_short_remove_years,NMF_FALLBACK,4,10,employees,0.15963983391302322
keep_short_remove_years,NMF_FALLBACK,4,11,cochin port,0.15857706317618334
keep_short_remove_years,NMF_FALLBACK,4,12,tbe,0.15475113119278855
keep_short_remove_years,NMF_FALLBACK,4,13,recruitment,0.14944304290549115
keep_short_remove_years,NMF_FALLBACK,4,14,cochin,0.13282469324564247
keep_short_remove_years,NMF_FALLBACK,4,15,order,0.12983835657264028
keep_short_remove_years,NMF_FALLBACK,4,16,port employees,0.1281478463444993
keep_short_remove_years,NMF_FALLBACK,4,17,foot,0.12677395495609003
keep_short_remove_years,NMF_FALLBACK,4,18,services fees,0.12350026692112971
keep_short_remove_years,NMF_FALLBACK,4,19,pilotage,0.12306689160896903
keep_short_remove_years,NMF_FALLBACK,4,20,trust employees,0.12219898744224245
keep_short_remove_years,NMF_FALLBACK,5,1,tobacco,1.145877706482558
keep_short_remove_years,NMF_FALLBACK,5,2,tobacco products,0.3015670101854407
keep_short_remove_years,NMF_FALLBACK,5,3,cigarettes,0.2697130982828878
keep_short_remove_years,NMF_FALLBACK,5,4,bidi,0.23512495696379887
keep_short_remove_years,NMF_FALLBACK,5,5,health,0.21811229162093262
keep_short_remove_years,NMF_FALLBACK,5,6,warnings,0.21663940707662738
keep_short_remove_years,NMF_FALLBACK,5,7,products,0.20324712633746503
keep_short_remove_years,NMF_FALLBACK,5,8,smoking,0.18762063508653373
keep_short_remove_years,NMF_FALLBACK,5,9,beedi,0.1763329348114811
keep_short_remove_years,NMF_FALLBACK,5,10,warning,0.1762446884961673
keep_short_remove_years,NMF_FALLBACK,5,11,cigarette,0.17263333774716935
keep_short_remove_years,NMF_FALLBACK,5,12,pictorial,0.15739187757657333
keep_short_remove_years,NMF_FALLBACK,5,13,health warnings,0.12247997523941631
keep_short_remove_years,NMF_FALLBACK,5,14,farmers,0.11683054588565167
keep_short_remove_years,NMF_FALLBACK,5,15,illicit,0.11515567965981542
keep_short_remove_years,NMF_FALLBACK,5,16,livelihood,0.10857867149477589
keep_short_remove_years,NMF_FALLBACK,5,17,tobacco control,0.10553681185930729
keep_short_remove_years,NMF_FALLBACK,5,18,crops,0.10381813256964016
keep_short_remove_years,NMF_FALLBACK,5,19,health warning,0.1023264808455361
keep_short_remove_years,NMF_FALLBACK,5,20,smokers,0.09587082996440716
keep_short_remove_years,NMF_FALLBACK,6,1,tbe,1.397090049760386
keep_short_remove_years,NMF_FALLBACK,6,2,tbat,0.26290538205762276
keep_short_remove_years,NMF_FALLBACK,6,3,tile,0.21291685928672877
keep_short_remove_years,NMF_FALLBACK,6,4,tea,0.16736122541855034
keep_short_remove_years,NMF_FALLBACK,6,5,act,0.1661413276350275
keep_short_remove_years,NMF_FALLBACK,6,6,law,0.15224970355270986
keep_short_remove_years,NMF_FALLBACK,6,7,department,0.14328761596886197
keep_short_remove_years,NMF_FALLBACK,6,8,tho,0.13790920737203652
keep_short_remove_years,NMF_FALLBACK,6,9,sbri,0.13265847009278584
keep_short_remove_years,NMF_FALLBACK,6,10,representative,0.13221744848583186
keep_short_remove_years,NMF_FALLBACK,6,11,matter,0.12174663230060444
keep_short_remove_years,NMF_FALLBACK,6,12,th,0.11845039411131894
keep_short_remove_years,NMF_FALLBACK,6,13,seventh,0.11830088344677943
keep_short_remove_years,NMF_FALLBACK,6,14,forest,0.11663148449609932
keep_short_remove_years,NMF_FALLBACK,6,15,stated,0.11373228728215802
keep_short_remove_years,NMF_FALLBACK,6,16,dot,0.11122939916859233
keep_short_remove_years,NMF_FALLBACK,6,17,add,0.10710862513423319
keep_short_remove_years,NMF_FALLBACK,6,18,ia,0.10706930654709454
keep_short_remove_years,NMF_FALLBACK,6,19,board,0.1008851736546286
keep_short_remove_years,NMF_FALLBACK,6,20,delay,0.09825631210086361
keep_short_remove_years,NMF_FALLBACK,7,1,medical,0.6430858319523112
keep_short_remove_years,NMF_FALLBACK,7,2,ayush,0.5026698518988025
keep_short_remove_years,NMF_FALLBACK,7,3,ayurveda,0.29594685794225184
keep_short_remove_years,NMF_FALLBACK,7,4,council,0.28289218345002265
keep_short_remove_years,NMF_FALLBACK,7,5,homeopathy,0.24630685820031156
keep_short_remove_years,NMF_FALLBACK,7,6,medicine,0.24075636923439506
keep_short_remove_years,NMF_FALLBACK,7,7,colleges,0.23994915037319153
keep_short_remove_years,NMF_FALLBACK,7,8,students,0.2312415338105884
keep_short_remove_years,NMF_FALLBACK,7,9,medical council,0.2107955368526444
keep_short_remove_years,NMF_FALLBACK,7,10,doctors,0.21000720463204728
keep_short_remove_years,NMF_FALLBACK,7,11,education,0.17799680013186384
keep_short_remove_years,NMF_FALLBACK,7,12,central council,0.17227599824931705
keep_short_remove_years,NMF_FALLBACK,7,13,medical education,0.1683463340408478
keep_short_remove_years,NMF_FALLBACK,7,14,medical colleges,0.16752053650573157
keep_short_remove_years,NMF_FALLBACK,7,15,admission,0.15167019319150135
keep_short_remove_years,NMF_FALLBACK,7,16,council india,0.14813535149393686
keep_short_remove_years,NMF_FALLBACK,7,17,npa,0.14310620798377804
keep_short_remove_years,NMF_FALLBACK,7,18,indian medicine,0.14162097222809442
keep_short_remove_years,NMF_FALLBACK,7,19,graduate,0.13959563888127582
keep_short_remove_years,NMF_FALLBACK,7,20,regulations,0.1334395569523929
keep_short_remove_years,NMF_FALLBACK,8,1,delay,0.22348718571196705
keep_short_remove_years,NMF_FALLBACK,8,2,gsr,0.20765949793437924
keep_short_remove_years,NMF_FALLBACK,8,3,notification,0.18926664629167675
keep_short_remove_years,NMF_FALLBACK,8,4,publication,0.1673762480792478
keep_short_remove_years,NMF_FALLBACK,8,5,amendment rules,0.1526071385362263
keep_short_remove_years,NMF_FALLBACK,8,6,xx,0.15189568140249973
keep_short_remove_years,NMF_FALLBACK,8,7,department,0.14813831417552878
keep_short_remove_years,NMF_FALLBACK,8,8,laid,0.14355411350294886
keep_short_remove_years,NMF_FALLBACK,8,9,final,0.13901675327372162
keep_short_remove_years,NMF_FALLBACK,8,10,table,0.13726036402003092
keep_short_remove_years,NMF_FALLBACK,8,11,drugs,0.1369027123237274
